source_sheet,content
LCA,"Product: LCA | Section: 3. pakistan origin card (poc) issued by nadra | Detail: 5. passport, with a valid visa or any other proof of legal stay along with passport (foreign national individuals only)"
LCA,Product: LCA | Section: 6. source of income of guardian
NAA,Product: NAA | Section: what is the eligibility criteria for naa?
NAA,Product: NAA | Section: what is the eligibility criteria for naa? | Detail: resident pakistani individuals who do not maintain/have any other account (single or joint) in nust bank limited are eligible to open the naa in pak rupees as a single/joint account.
NAA,Product: NAA | Section: what is the account type of naa?
NAA,Product: NAA | Section: naa can be opened both in current & savings
NAA,Product: NAA | Section: what is the opening and minimum balance requirement in naa?
NAA,Product: NAA | Section: what is the opening and minimum balance requirement in naa? | Detail: account can be opened with rs.100/ and there is no minimum balance requirement.
NAA,Product: NAA | Section: what are the basic features of nust asaan account?
NAA,Product: NAA | Section: what are the basic features of nust asaan account? | Detail: o bi-annual account statements | profit payment | profit rate
NAA,Product: NAA | Section: what are the basic features of nust asaan account? | Detail: o no service charges for account opening & closing | semi-annually | 0.19
NAA,Product: NAA | Section: what are the basic features of nust asaan account? | Detail: o free paypak debit card issuance* (subsequent charges apply as per the prevailing schedule of charges)
NAA,Product: NAA | Section: o free sms alerts on digital transaction
NAA,Product: NAA | Section: o free e-statements
NAA,Product: NAA | Section: o free i-net banking / mobile banking
NAA,Product: NAA | Section: o free inter branch online cash withdrawal/ deposit (online)
NAA,Product: NAA | Section: o free internal fund transfer within nust via branch (online transfer)
NAA,"Product: NAA | Section: o free internal fund transfer within nust via branch (online transfer) | Detail: o transaction limit is rs. 1,000,000/- for total credit balance and total debit per month"
NAA,Product: NAA | Section: o free internal fund transfer within nust via branch (online transfer) | Detail: o cross border (outward) transactions shall not be allowed except in case of international transactions carried out through debit cards
NAA,"Product: NAA | Section: o free internal fund transfer within nust via branch (online transfer) | Detail: o customers can place their funds in bank’s prescribed tdr products. however, the maximum credit balance limit will be inclusive of funds placed in tdrs"
NAA,Product: NAA | Section: * for current account only
NAA,Product: NAA | Section: what is the profit rate on naa savings account?
NAA,Product: NAA | Section: current profit rate is 20.50% which is paid semi annually.
NWA,Product: NWA | Section: does your bank offer any account for senior citizens?
NWA,"Product: NWA | Section: does your bank offer any account for senior citizens? | Detail: nust waqaar account has been developed for senior citizens, enabling them to carry out their banking transactions and also to avail investment opportunities."
NWA,Product: NWA | Section: what are the salient features of nust waqaar account ?
NWA,Product: NWA | Section: what are the salient features of nust waqaar account ? | Detail: tenure | – | 1 year | savings: | 0.19
NWA,Product: NWA | Section: what are the salient features of nust waqaar account ? | Detail: minimum age to qualify | 55 years | 55 years
NWA,Product: NWA | Section: profit calculation
NWA,Product: NWA | Section: profit calculation | Detail: profit payment frequency | monthly | monthly | tenure | payout | profit rate
NWA,Product: NWA | Section: profit calculation | Detail: debit card & cheque book issuance as per prevailing soc (for linked account) | debit card & cheque book | debit card & cheque book issuance as per prevailing soc | debit card & cheque book issuance as per prevailing soc (for linked account) | one year | monthly | 0.1675
NWA,Product: NWA | Section: profit calculation | Detail: currency | pkr | pkr
NWA,Product: NWA | Section: what identity documents are required to open nust waqaar account?
NWA,Product: NWA | Section: a photocopy of any one of the following valid identity documents:
NWA,Product: NWA | Section: national identity card (cnic) issued by nadra
NWA,Product: NWA | Section: national identity card for overseas pakistani (nicop) issued by nadra
NWA,Product: NWA | Section: pakistan origin card (poc) issued by nadra
NWA,"Product: NWA | Section: pakistan origin card (poc) issued by nadra | Detail: passport, having valid visa on it or any other proof of legal stay along with passport (foreign national individuals only)"
NWA,Product: NWA | Section: what is the minimum age to qualify for opening of nust waqaar account & minimum deposit requirement ?
NWA,Product: NWA | Section: minimum age to qualify is 55 years
NWA,"Product: NWA | Section: minimum age to qualify is 55 years | Detail: in case of a joint account, primary account holder must satisfy the age criteria"
NWA,Product: NWA | Section: what is the minimum deposit requirement to open nust waqaar savings account & nust waqaar term deposit?
NWA,"Product: NWA | Section: what is the minimum deposit requirement to open nust waqaar savings account & nust waqaar term deposit? | Detail: - minimum deposit for opening of the nust waqaar – savings account is rs.1,000"
NWA,"Product: NWA | Section: what is the minimum deposit requirement to open nust waqaar savings account & nust waqaar term deposit? | Detail: - minimum deposit for opening an nust waqaar – term deposit account is rs.25,000"
NWA,Product: NWA | Section: what is the minimum deposit requirement to open nust waqaar savings account & nust waqaar term deposit? | Detail: - note: customer must be an account holder of nust for placement of funds in nust waqaar-term deposit
PWRA,Product: PWRA | Section: is there any account nust bank is offering for remittance purposes ?
PWRA,"Product: PWRA | Section: is there any account nust bank is offering for remittance purposes ? | Detail: yes pakwatan remittance account. through the pakwatan remittance account, beneficiaries can quickly and securely receive remittances from their loved one living abroad directly into their bank account without visiting the branch."
PWRA,Product: PWRA | Section: what are initial/minimum balance requirements for pakwatan remittance account?
PWRA,Product: PWRA | Section: no initial deposit requirement
PWRA,Product: PWRA | Section: no minimum balance requirement
PWRA,Product: PWRA | Section: are local credits allowed in pakwatan remittance account?
PWRA,Product: PWRA | Section: local credits are also allowed in pakwatan remittance account
PWRA,Product: PWRA | Section: what are the free services associated with pakwatan remittance account?
PWRA,Product: PWRA | Section: free services include:
PWRA,Product: PWRA | Section: o first cheque book of 25 leaves*
PWRA,Product: PWRA | Section: o nust visa debit card issuance* (annual and replacement fee would apply)
PWRA,Product: PWRA | Section: o bankers cheque issuance
PWRA,Product: PWRA | Section: o inter branch online cash withdrawal/ deposit (online)
PWRA,Product: PWRA | Section: o internal fund transfer within nust via branch (online transfer)
PWRA,Product: PWRA | Section: o internet banking
PWRA,Product: PWRA | Section: o sms on digital transactions
PWRA,Product: PWRA | Section: o e-statements
PWRA,Product: PWRA | Section: * for current account only
PWRA,Product: PWRA | Section: are there any other benefits to opening a pakwatan remittance account?
PWRA,Product: PWRA | Section: o wht exemption on cash withdrawal on home remittances received from abroad
PWRA,"Product: PWRA | Section: o wht exemption on cash withdrawal on home remittances received from abroad | Detail: o customer may also be eligible for personal finance, credit cards and auto finance after six months of maintaining pakwatan remittance account, subject to eligibility criteria of the bank"
PWRA,Product: PWRA | Section: is there any insurance coverage for this account?
PWRA,Product: PWRA | Section: is there any insurance coverage for this account? | Detail: o atm cash withdrawal insurance coverage up to daily cash withdrawal limit of the debit card from nust bank atms
PWRA,"Product: PWRA | Section: is there any insurance coverage for this account? | Detail: o 24 hours world-wide “accidental death & permanent disability” insurance coverage to debit card holders. rs. 500,000/- and rs. 700,000/- for classic and gold debit cards respectively"
PWRA,Product: PWRA | Section: is there any insurance coverage for this account? | Detail: o 24 hours world-wide “accidental death & permanent disability” insurance coverage. the sum insured per account holder shall be equivalent to four times of the average balance completed in the last six months – maximum up to rs. 2.5 million
PWRA,Product: PWRA | Section: what is the profit rate offered on this account and when is credited?
PWRA,Product: PWRA | Section: what is the profit rate offered on this account and when is credited? | Detail: profit payment on monthly basis based on monthly average balance | monthly | 0.19
PWRA,Product: PWRA | Section: all bank charges are applicable as per prevailing schedule of charges
PWRA,Product: PWRA | Section: zakat and taxes are applicable as per law
RDA,Product: RDA | Section: does nust bank offer any account for non-resident pakistanis (nrps)?
RDA,"Product: RDA | Section: does nust bank offer any account for non-resident pakistanis (nrps)? | Detail: yes roshan digital account. specially designed for individual non-resident pakistanis (nrps) seeking to undertake banking, payment and investment activities in pakistan."
RDA,Product: RDA | Section: is there any minimum balance requirement of roshan digital account?
RDA,Product: RDA | Section: no initial deposit requirement
RDA,Product: RDA | Section: no minimum balance requirement
RDA,Product: RDA | Section: what are the main features of the roshan digital account?
RDA,Product: RDA | Section: offered in pkr and usd/gbp/eur
RDA,Product: RDA | Section: sms alerts on registered local and international numbers
RDA,Product: RDA | Section: sms alerts on registered local and international numbers | Detail: bill payments & funds transfer within pakistan via local atms & internet banking
RDA,"Product: RDA | Section: sms alerts on registered local and international numbers | Detail: investment in naya pakistan certificates, real estate, nust term deposits receipts and stock market"
RDA,Product: RDA | Section: note: local deposits are not allowed in rda
RDA,Product: RDA | Section: what are the free facilities ?
RDA,Product: RDA | Section: free first issuance of debit card- annual charges as per prevailing soc
RDA,Product: RDA | Section: free i-net banking
RDA,Product: RDA | Section: free e-statements
RDA,Product: RDA | Section: how to apply for roshan digital account ?
RDA,"Product: RDA | Section: how to apply for roshan digital account ? | Detail: customer can visit nust bank’s website and click on ""apply for roshan digital account"" to open nust roshan digital account. ◦"
RDA,Product: RDA | Section: customer would complete the account opening form and submit the required documents.
RDA,Product: RDA | Section: customer would complete the account opening form and submit the required documents. | Detail: customer request to open roshan digital account will be processed in 48 working hours.
RDA,"Product: RDA | Section: customer would complete the account opening form and submit the required documents. | Detail: in case of any discrepancy or requirement of additional information, the bank will contact the customer accordingly as per provided contact details."
RDA,Product: RDA | Section: what is the nust bank web portal link for rda?
RDA,Product: RDA | Section: https://secureportal.nustbank.com/rda/
RDA,Product: RDA | Section: who can open a roshan digital account?
RDA,Product: RDA | Section: nrps
RDA,Product: RDA | Section: opf members
RDA,Product: RDA | Section: foreign nationals having pakistan origin card (poc)
RDA,Product: RDA | Section: pakistani nationals having declared assets abroad
RDA,Product: RDA | Section: govt. employees & officials posted abroad
RDA,Product: RDA | Section: govt. employees & officials posted abroad | Detail: profit payment | profit rate
RDA,Product: RDA | Section: govt. employees & officials posted abroad | Detail: all bank charges are applicable as per prevailing schedule of charges | monthly | 0.19
RDA,Product: RDA | Section: zakat and wht taxes on profit are not applicable on rda account
VPCA,Product: VPCA | Section: i would like to inquire about opening a current account for individuals with your bank. please tell me what options i have ?
VPCA,Product: VPCA | Section: i would like to inquire about opening a current account for individuals with your bank. please tell me what options i have ? | Detail: nust value plus current account is specially designed for individuals to cater their financial needs.
VPCA,Product: VPCA | Section: what are the free facilities being provided with nust value plus current account?
VPCA,Product: VPCA | Section: - cheque books (unlimited)
VPCA,Product: VPCA | Section: - debit card (first is free)*
VPCA,Product: VPCA | Section: - 2 supplementary debit cards
VPCA,Product: VPCA | Section: - duplicate account statements
VPCA,Product: VPCA | Section: - on-line fund transfer facility
VPCA,Product: VPCA | Section: - free sms alerts facility on digital transactions
VPCA,Product: VPCA | Section: - free e-statement & i-net banking
VPCA,Product: VPCA | Section: - free inter branch online cash deposit/withdrawal (online)
VPCA,Product: VPCA | Section: - free internal fund transfer within nust via branch (online transfer)
VPCA,Product: VPCA | Section: - free banker’s cheque issuance
VPCA,Product: VPCA | Section: are there any insurance benefits associated with vpca'?
VPCA,Product: VPCA | Section: - atm cash withdrawal insurance coverage
VPCA,Product: VPCA | Section: - 24 hours world-wide “accidental death & permanent disability” insurance coverage **
VPCA,Product: VPCA | Section: what is the opening and minimum balance requirement for vpca?
VPCA,Product: VPCA | Section: - no opening balance requirements
VPCA,Product: VPCA | Section: - no minimum monthly average balance requirements
VPCA,Product: VPCA | Section: - allocation of lockers (upon availability)**
VPCA,Product: VPCA | Section: *subsequent charges/annual fees would be as per prevailing soc
VPCA,"Product: VPCA | Section: **on maintaining a minimum monthly average balance of rs. 50,000"
VP-BA,Product: VP-BA | Section: i would like to inquire about opening a current account for business with your bank. please tell me what options i have?
VP-BA,Product: VP-BA | Section: nust value plus business account is best suited for startups and businesses
VP-BA,Product: VP-BA | Section: please tell me about free facilities being provided on value plus current account for business upon maintaining minimum monthly average balance ?
VP-BA,Product: VP-BA | Section: issuance of cheque books
VP-BA,Product: VP-BA | Section: duplicate account statement
VP-BA,Product: VP-BA | Section: issuance of debit card*
VP-BA,Product: VP-BA | Section: internet banking facility
VP-BA,Product: VP-BA | Section: sms alerts on digital transaction
VP-BA,Product: VP-BA | Section: e-statement
VP-BA,Product: VP-BA | Section: inter branch online cash deposit/withdrawal (online)
VP-BA,Product: VP-BA | Section: internal fund transfer within nust via branch (online transfer)
VP-BA,Product: VP-BA | Section: banker’s cheque issuance
VP-BA,Product: VP-BA | Section: *subsequent charges/annual fees would be as per prevailing soc
VP-BA,Product: VP-BA | Section: please tell me about minimum monthly balance required ?
VP-BA,Product: VP-BA | Section: no initial deposit requirement
VP-BA,"Product: VP-BA | Section: rs. 25,000/-* (monthly average balance)"
VP-BA,Product: VP-BA | Section: what is target market for value plus business account ?
VP-BA,Product: VP-BA | Section: sole proprietors general partnership small enterprises
VP-BA,Product: VP-BA | Section: is there any insurance coverage available?
VP-BA,Product: VP-BA | Section: atm cash withdrawal insurance speedy processing of sbp kamyab jawan loans
VPBA,Product: VPBA | Section: i would like to inquire about opening a current account for business purpose with your bank. please tell me what options i have?
VPBA,Product: VPBA | Section: i would like to inquire about opening a current account for business purpose with your bank. please tell me what options i have? | Detail: nust value premium business account has been designed to better meet the specialized banking needs of businesses that continue to grow with time.
VPBA,Product: VPBA | Section: please tell me about free facilities being provided on value plus current account for premium business upon maintaining minimum monthly average balance?
VPBA,Product: VPBA | Section: issuance of cheque books*
VPBA,Product: VPBA | Section: duplicate account statement
VPBA,Product: VPBA | Section: issuance of debit card*
VPBA,Product: VPBA | Section: internet banking facility
VPBA,Product: VPBA | Section: sms alerts on digital transaction
VPBA,Product: VPBA | Section: same day & intercity cheque deposit
VPBA,Product: VPBA | Section: e-statement
VPBA,Product: VPBA | Section: inter branch online cash deposit/withdrawal (online)
VPBA,Product: VPBA | Section: internal fund transfer within nust via branch (online transfer)
VPBA,Product: VPBA | Section: banker’s cheque issuance
VPBA,Product: VPBA | Section: free lc / lg issuance (cash backed or account lien based)
VPBA,Product: VPBA | Section: *subsequent charges/annual fees would be as per prevailing soc
VPBA,Product: VPBA | Section: please tell me about the minimum monthly balance required for this account?
VPBA,Product: VPBA | Section: no initial deposit requirement
VPBA,"Product: VPBA | Section: rs. 100,000/-* (monthly average balance)"
VPBA,Product: VPBA | Section: what other benefits do i get from using a vpba?
VPBA,Product: VPBA | Section: speedy processing of financing
VPBA,Product: VPBA | Section: speedy processing of financing | Detail: customized salary processing & cash management solutions acms (internet banking solution for corporate clients)
VPBA,Product: VPBA | Section: atm cash withdrawal insurance
VPBA,Product: VPBA | Section: what is the target market for value plus premium business account ?
VPBA,Product: VPBA | Section: medium enterprises
VPBA,Product: VPBA | Section: partnership firms
VPBA,Product: VPBA | Section: private & public limited companies
VPBA,Product: VPBA | Section: corporate & commercial organizations
VPBA,Product: VPBA | Section: ngos / npos / trust/ charitable organizations
NSDA,Product: NSDA | Section: is nust bank offering any account which provides lucrative profits on my savings?
NSDA,Product: NSDA | Section: is nust bank offering any account which provides lucrative profits on my savings? | Detail: nust special deposit account (asda) is specially designed for large ticket customers to meet their transactional and savings needs.
NSDA,Product: NSDA | Section: what is the minimum balance requirement of nust special deposit account?
NSDA,Product: NSDA | Section: what is the minimum balance requirement of nust special deposit account? | Detail: no minimum monthly average balance requirement | profit payment | profit rate
NSDA,Product: NSDA | Section: what is the minimum balance requirement of nust special deposit account? | Detail: no minimum opening balance requirement | monthly/semi-annually | 0.19
NSDA,Product: NSDA | Section: please tell me about profit payment and calculation?
NSDA,Product: NSDA | Section: profit payment frequency- monthly
NSDA,Product: NSDA | Section: profit calculation- monthly average balance
NSDA,Product: NSDA | Section: what are the free services available with asda?
NSDA,Product: NSDA | Section: free e-statement & i-net banking
NSDA,Product: NSDA | Section: free inter branch online cash deposit/withdrawal (online)
NSDA,Product: NSDA | Section: free internal fund transfer within nust via branch (online transfer)
NSDA,Product: NSDA | Section: free banker’s cheque issuance
NSDA,Product: NSDA | Section: free sms alerts on digital transaction
NSDA,Product: NSDA | Section: what is the target market?
NSDA,Product: NSDA | Section: hnw individuals (either singly or jointly)
NSDA,Product: NSDA | Section: proprietorship concerns
NSDA,Product: NSDA | Section: partnership firms
NSDA,Product: NSDA | Section: public and private limited companies
NSDA,"Product: NSDA | Section: government organizations, corporations"
NSDA,"Product: NSDA | Section: clubs, societies, associations, ngos"
PLS,Product: PLS | Section: is your bank offering profit & loss account ?
PLS,"Product: PLS | Section: is your bank offering profit & loss account ? | Detail: yes, profit & loss sharing account is specially designed to meet the transactional and savings need of customers."
PLS,Product: PLS | Section: what are the main features of nust profit & loss sharing (pls) account?
PLS,"Product: PLS | Section: what are the main features of nust profit & loss sharing (pls) account? | Detail: offered in lcy (pkr) & fcy (usd, gbp, eur, jpy & aed) | semi-annually | 0.19"
PLS,"Product: PLS | Section: what are the main features of nust profit & loss sharing (pls) account? | Detail: account opening deposit of rs.100 for lcy, us $500 or equivalent for fcy | pls pensioners account"
PLS,Product: PLS | Section: what are the main features of nust profit & loss sharing (pls) account? | Detail: debit card issuance against lcy account | profit payment | profit rate
PLS,Product: PLS | Section: what are the main features of nust profit & loss sharing (pls) account? | Detail: profit calculation- monthly average balance | semi-annually | 0.1925
PLS,Product: PLS | Section: profit payment frequency- semi-annually
PLS,Product: PLS | Section: what are free features available with nust savings profit & loss sharing (pls) account.
PLS,Product: PLS | Section: free e-statement & i-net banking
PLS,Product: PLS | Section: free inter branch online cash deposit/withdrawal (online)
PLS,Product: PLS | Section: free internal fund transfer within nust via branch (online transfer)
PLS,Product: PLS | Section: free banker’s cheque issuance
PLS,Product: PLS | Section: free sms alerts on digital transaction
PLS,Product: PLS | Section: what is the target market?
PLS,Product: PLS | Section: individuals (either singly or jointly)
PLS,Product: PLS | Section: proprietorship concerns
PLS,Product: PLS | Section: partnership firms
PLS,Product: PLS | Section: public and private limited companies
PLS,"Product: PLS | Section: government organizations, corporations"
PLS,"Product: PLS | Section: clubs, societies, associations,"
PLS,Product: PLS | Section: ngos/npos/charitable organizations
CDA,Product: CDA | Section: is your bank offering any current deposit account ?
CDA,Product: CDA | Section: is your bank offering any current deposit account ? | Detail: current deposit account is specially designed for customers with regular banking transactional needs and do not need profit.
CDA,Product: CDA | Section: what are the main features of current deposit account?
CDA,"Product: CDA | Section: offered in lcy (pkr) & fcy (usd, gbp, eur, jpy & aed)"
